metabolite	B_breve_689b_C_rxn_consume	Lco_lactis_1064-C11_S_rxn_consume	St_thermophilus_CBC-S77_S_rxn_consume	B_breve_689b_C_rxn_produce	Lco_lactis_1064-C11_S_rxn_produce	St_thermophilus_CBC-S77_S_rxn_produce
Glucopyranose	GLUCOKIN-RXN;AMYLOMALT-RXN;RXN-12193;RXN-14261;2.7.1.63-RXN;TRANS-RXN-157;RXN-14354;RXN-14260	GLUCOKIN-RXN;AMYLOMALT-RXN;RXN-12193;RXN-14261;TRANS-RXN-157;RXN-14354;RXN-14260	GLUCOKIN-RXN;AMYLOMALT-RXN;RXN-12193;RXN-14261;TRANS-RXN-157;RXN-14354;RXN-14260	ALPHAGALACTOSID-RXN;GLUCOSE-1-PHOSPHAT-RXN;3.2.1.48-RXN;RXN-12391;3.2.1.10-RXN	LACTOSE6P-HYDROXY-RXN;3.2.1.48-RXN;6-PHOSPHO-BETA-GLUCOSIDASE-RXN;RXN-12391;MALTOSE-PHOSPHORYLASE-RXN;3.2.1.10-RXN	6-PHOSPHO-BETA-GLUCOSIDASE-RXN;RXN-12391;3.2.1.48-RXN;TRE6PHYDRO-RXN
CPD-21225	3.5.1.29-RXN					
N-terminal-L-alanine	RXN-17860	RXN-17860		RXN-17873	RXN-17873	RXN-17873
L-HISTIDINOL-P	HISTAMINOTRANS-RXN;HISTIDPHOS-RXN	HISTAMINOTRANS-RXN;HISTIDPHOS-RXN	HISTAMINOTRANS-RXN;HISTIDPHOS-RXN			
25-DIDEHYDRO-D-GLUCONATE				1.1.1.274-RXN		
PRPP	RXN-14270;XANPRIBOSYLTRAN-RXN;QUINOPRIBOTRANS-RXN;GUANPRIBOSYLTRAN-RXN;NICOTINATEPRIBOSYLTRANS-RXN;HYPOXANPRIBOSYLTRAN-RXN;ADENPRIBOSYLTRAN-RXN;URACIL-PRIBOSYLTRANS-RXN	RXN-14270;XANPRIBOSYLTRAN-RXN;GUANPRIBOSYLTRAN-RXN;NICOTINATEPRIBOSYLTRANS-RXN;HYPOXANPRIBOSYLTRAN-RXN;ADENPRIBOSYLTRAN-RXN;URACIL-PRIBOSYLTRANS-RXN	RXN-14270;XANPRIBOSYLTRAN-RXN;GUANPRIBOSYLTRAN-RXN;NICOTINATEPRIBOSYLTRANS-RXN;HYPOXANPRIBOSYLTRAN-RXN;ADENPRIBOSYLTRAN-RXN;URACIL-PRIBOSYLTRANS-RXN	PRPPAMIDOTRANS-RXN;PRPPSYN-RXN;ATPPHOSPHORIBOSYLTRANS-RXN;OROPRIBTRANS-RXN;PRTRANS-RXN	PRPPAMIDOTRANS-RXN;PRPPSYN-RXN;ATPPHOSPHORIBOSYLTRANS-RXN;OROPRIBTRANS-RXN;PRTRANS-RXN	PRPPSYN-RXN;PRPPAMIDOTRANS-RXN;ATPPHOSPHORIBOSYLTRANS-RXN;PRTRANS-RXN
SUCROSE	AMYLOSUCRASE-RXN;3.2.1.48-RXN	3.2.1.48-RXN	3.2.1.48-RXN	RXN-11502		
CPD-372	2.7.7.40-RXN	2.7.7.40-RXN		RIBITOL-5-PHOSPHATE-2-DEHYDROGENASE-RXN		
CTP	RXN-14118;RXN0-7080;RXN0-5515;RXN-20524;TRNA-CYTIDYLYLTRANSFERASE-RXN;RXN0-723;2.7.7.40-RXN;CDPDIGLYSYN-RXN;RXN-21264	RXN0-7080;RXN0-5515;RXN-20524;TRNA-CYTIDYLYLTRANSFERASE-RXN;RXN0-723;2.7.7.40-RXN;RXN-12195;CDPDIGLYSYN-RXN;RXN-21264	RXN0-7080;RXN0-5515;RXN-20524;TRNA-CYTIDYLYLTRANSFERASE-RXN;RXN0-723;CDPDIGLYSYN-RXN;RXN-21264;RXN-9990	CTPSYN-RXN	CTPSYN-RXN	CDPKIN-RXN;CTPSYN-RXN
CPD-7046				RXN-22287	RXN-22287	RXN-22287
Alcohols				RXN-22617;ACID-PHOSPHATASE-RXN;BETA-GLUCURONID-RXN;3.2.1.52-RXN;1.11.1.15-RXN;R4-RXN	GLYCPDIESTER-RXN;6-PHOSPHO-BETA-GALACTOSIDASE-RXN;RXN-22617;3.2.1.52-RXN;1.11.1.15-RXN;CARBOXYLESTERASE-RXN;R4-RXN	1.11.1.15-RXN
N-5-PHOSPHORIBOSYL-ANTHRANILATE	PRAISOM-RXN;PRTRANS-RXN	PRAISOM-RXN;PRTRANS-RXN	PRAISOM-RXN;PRTRANS-RXN			
5734-TETRAHYDROXYFLAVONE				RXN-15291		
Charged-fMET-tRNAs	3.5.1.27-RXN	3.5.1.27-RXN	3.5.1.27-RXN			
ALL-TRANS-HEPTAPRENYL-DIPHOSPHATE	RXN-9190	RXN-9190			RXN-11458;TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	
UDP-N-ACETYLMURAMATE	UDP-NACMUR-ALA-LIG-RXN	UDP-NACMUR-ALA-LIG-RXN	UDP-NACMUR-ALA-LIG-RXN	UDPNACETYLMURAMATEDEHYDROG-RXN	UDPNACETYLMURAMATEDEHYDROG-RXN	UDPNACETYLMURAMATEDEHYDROG-RXN
BCCP-biotin-L-lysine	RXN-7101	RXN-7101	RXN-7101	BIOTINLIG-RXN	BIOTINLIG-RXN	BIOTINLIG-RXN
OXYGEN-MOLECULE	L-ASPARTATE-OXID-RXN;RXN-14991;RXN0-3381;QUINOLINATE-SYNTHE-MULTI-RXN;RXN-8941	RXN-16322;RXN-19631;RXN-12541;RXN-6883;2-NITROPROPANE-DIOXYGENASE-RXN;RXN-16454;1.2.3.3-RXN;GLYCEROL-3-PHOSPHATE-OXIDASE-RXN;RXN-20993;RXN-20992;RXN0-5266;RXN-21392	RXN-11219;RXN-13067;RXN-16322;RXN-12541;CATECHOL-2-3-DIOXYGENASE-RXN;RXN-13704;2-NITROPROPANE-DIOXYGENASE-RXN;RXN-16454;CATECHOL-23-DIOXYGENASE-RXN		SUPEROX-DISMUT-RXN	SUPEROX-DISMUT-RXN
Alkylated-Bases				3.2.2.21-RXN	3.2.2.21-RXN	3.2.2.21-RXN
CPD-19345	TRANS-RXN-321	TRANS-RXN-321	TRANS-RXN-321	TRANS-RXN-321	TRANS-RXN-321	TRANS-RXN-321
CPD-4211	RXN0-6274	GPPSYN-RXN;RXN0-6274	GPPSYN-RXN;RXN0-6274	RXN0-884	IPPISOM-RXN	
ASP-tRNAs	ASPARTATE--TRNA-LIGASE-RXN	ASPARTATE--TRNA-LIGASE-RXN	ASPARTATE--TRNA-LIGASE-RXN	RXN-19728	RXN-19728	RXN-19728
CPD0-2500	RXN-17830					
PHENYL-PYRUVATE	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PHENYLPYRUVATE-TAUTOMERASE-RXN	PREPHENATEDEHYDRAT-RXN;RXN-10814	PREPHENATEDEHYDRAT-RXN;RXN-10814	PREPHENATEDEHYDRAT-RXN;RXN-10814
Malonyl-NRPS				RXN185E-16	RXN185E-16	RXN185E-16
CPD-21113	RXN-19547	RXN-19547	RXN-19547			
23S-rRNA-cytidine-1920	RXN-12463					
Apo-AsbD-Proteins	RXN-10674	RXN-10674	RXN-10674			
THR-tRNAs	THREONINE--TRNA-LIGASE-RXN	THREONINE--TRNA-LIGASE-RXN	THREONINE--TRNA-LIGASE-RXN			
CPD-3762	RXN-14270	RXN-14270	RXN-14270			
GLYCEROL		GLYCEROL-KIN-RXN	GLYCDEH-RXN	RXN-14964;RXN-14965;GLYCEROL-1-PHOSPHATASE-RXN	RXN-15089;RXN-18935;3.1.1.23-RXN;RXN-14073;CARDIOLIPSYN-RXN;RXN-7952;RXN-15088	CARDIOLIPSYN-RXN
Acceptor	RXN-11042;RXN-6081;NADPH-DEHYDROGENASE-RXN	RXN-11042;RXN-6081	RXN-6081	RXN-18666;RXN0-5063;RXN-21560;RXN-18089;RXN-20037	RXN-18666;RXN-21560;RXN-9010;RXN-20037;RXN-16820;RXN0-2023	RXN-18666;RXN0-5063;RXN-21241;RXN-21560;RXN-10851;RXN-12104;RXN-20037;RXN-16820;RXN0-2023
Lipoyl-Protein-N6-lipoyllysine				1.8.1.4-RXN	RXN-17127;1.8.1.4-RXN	1.8.1.4-RXN
UBIQUINOL-30				SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	
CPD-21422	RXN-19806					
RNASE-III-PROCESSING-PRODUCT-MRNA				3.1.26.3-RXN	3.1.26.3-RXN	3.1.26.3-RXN
Protein-tyrosine-phosphates	PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN	2.7.10.1-RXN		2.7.10.1-RXN
2-3-4-Saturated-L-Phosphatidates	RXN0-5515	RXN0-5515	RXN0-5515			
Ergothioneine-Thione	RXN-15804					
ATP	2.7.1.148-RXN;PANTOTHENATE-KIN-RXN;PRPPSYN-RXN;HEXOKINASE-RXN;AIRS-RXN;R345-RXN;DIACYLGLYKIN-RXN;5.99.1.3-RXN;RXN-16380;FORMATETHFLIG-RXN;CTPSYN-RXN;DTMPKI-RXN;ABC-27-RXN;SERINE--TRNA-LIGASE-RXN;RXN-18662;RXN-14569;RXN-22326;PROLINE--TRNA-LIGASE-RXN;RXN490-3616;UDP-NACMUR-ALA-LIG-RXN;GLUCONOKIN-RXN;PYRAMKIN-RXN;GLY3KIN-RXN;GLUC1PADENYLTRANS-RXN;PYRIDOXKIN-RXN;RXN-1961;RXN-15297;PYRIMSYN3-RXN;NICOTINATEPRIBOSYLTRANS-RXN;RXN-16165;DEOXYGLUCONOKIN-RXN;RXN-22608;RXN0-4342;ASPARTATE--TRNA-LIGASE-RXN;HOMOSERKIN-RXN;ACETYLGLUTKIN-RXN;3.1.21.3-RXN;ARGSUCCINSYN-RXN;GMP-SYN-GLUT-RXN;RXN-20400;RXN-22498;TRNA-CYTIDYLYLTRANSFERASE-RXN;SUCCCOASYN-RXN;THREONINE--TRNA-LIGASE-RXN;FORMYLTHFGLUSYNTH-RXN;ISOLEUCINE--TRNA-LIGASE-RXN;RXN-20406;RXN-19892;OHMETPYRKIN-RXN;RXN-18028;5-FORMYL-THF-CYCLO-LIGASE-RXN;RXN-18029;RXN-6341;6.3.5.6-RXN;CARBPSYN-RXN;TYROSINE--TRNA-LIGASE-RXN;ASPARTATEKIN-RXN;DEPHOSPHOCOAKIN-RXN;RXN-11135;6.3.5.7-RXN;ARGININE--TRNA-LIGASE-RXN;GLUTAMINESYN-RXN;GUANYL-KIN-RXN;GLUCOKIN-RXN;2.7.13.3-RXN;PHENYLALANINE--TRNA-LIGASE-RXN;RXN0-2161;RXN0-4261;RXN-11109;RXN-21262;LYSINE--TRNA-LIGASE-RXN;UDP-NACMURALGLDAPAALIG-RXN;GALACTOKIN-RXN;RXN0-2921;2.7.10.1-RXN;RXN-18666;TRYPTOPHAN--TRNA-LIGASE-RXN;N-ACETYLGLUCOSAMINE-KINASE-RXN;ACETATEKIN-RXN;CYSTEINE--TRNA-LIGASE-RXN;GLYCINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;POLYPHOSPHATE-KINASE-RXN;GSADENYLATION-RXN;NICONUCADENYLYLTRAN-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-12002;RXN-21299;3.6.3.40-RXN;ATPASE-RXN;SAICARSYN-RXN;RXN0-1061;HISTIDINE--TRNA-LIGASE-RXN;RXN0-5422;GTPPYPHOSKIN-RXN;PNKIN-RXN;GLYRIBONUCSYN-RXN;GDPPYPHOSKIN-RXN;PHOSGLYPHOS-RXN;RXN-10;RXN-8457;ATP-ADENYLYLTRANSFERASE-RXN;XYLULOKIN-RXN;PROPKIN-RXN;UDP-NACMURALA-GLU-LIG-RXN;DALADALALIG-RXN;PANTEPADENYLYLTRAN-RXN;TRANS-RXN-194;GLUTKIN-RXN;6.3.2.7-RXN;ABC-42-RXN;THIAZOLSYN3-RXN;RXN1G-4355;RXN-16707;LEUCINE--TRNA-LIGASE-RXN;TRANS-RXN-314;TRANS-RXN-321;RXN185E-10;RXN-7904;S-ADENMETSYN-RXN;6.3.2.10-RXN;RXN0-745;ABC-7-RXN;RIBOKIN-RXN;RXN0-742;RXN-21036;NAD-KIN-RXN;6.1.1.23-RXN;ATPSYN-RXN;GLUTCYSLIG-RXN;RXN2DNV-43;3.4.21.92-RXN;PROPIONYL-COA-CARBOXY-RXN;METHIONINE--TRNA-LIGASE-RXN;ABC-70-RXN;VALINE--TRNA-LIGASE-RXN;GLURS-RXN;FGAMSYN-RXN;2.7.1.157-RXN;DIHYDROFOLATESYNTH-RXN;RXN-14455;BIOTINLIG-RXN;RXN-9297;ADENYL-KIN-RXN;PROTEIN-KINASE-RXN;NAD-SYNTH-GLN-RXN	PANTOTHENATE-KIN-RXN;PRPPSYN-RXN;HEXOKINASE-RXN;AIRS-RXN;NAD-SYNTH-NH3-RXN;R345-RXN;RIBULOKIN-RXN;URIDINEKIN-RXN;RXN-22366;DIACYLGLYKIN-RXN;3.6.3.31-RXN;5.99.1.3-RXN;RXN-16380;FORMATETHFLIG-RXN;CTPSYN-RXN;DTMPKI-RXN;RXN-11832;SERINE--TRNA-LIGASE-RXN;RXN-14569;RXN-22383;RXN-22326;PROLINE--TRNA-LIGASE-RXN;UDP-NACMUR-ALA-LIG-RXN;RXN0-2023;RXN-7913;RXN0-5116;PYRAMKIN-RXN;GLUC1PADENYLTRANS-RXN;PYRIDOXKIN-RXN;RXN-18388;RXN-1961;RXN-8638;KANAMYCIN-KINASE-RXN;PYRIMSYN3-RXN;NICOTINATEPRIBOSYLTRANS-RXN;RXN-16165;DEOXYGLUCONOKIN-RXN;RXN-22608;RXN-15714;ASPARTATE--TRNA-LIGASE-RXN;HOMOSERKIN-RXN;3.6.3.42-RXN;ACETYLGLUTKIN-RXN;3.1.21.3-RXN;ARGSUCCINSYN-RXN;GMP-SYN-GLUT-RXN;RXN-22498;TRANS-RXN-2;TRNA-CYTIDYLYLTRANSFERASE-RXN;UNDECAPRENOL-KINASE-RXN;THREONINE--TRNA-LIGASE-RXN;RXN0-1141;FORMYLTHFGLUSYNTH-RXN;ISOLEUCINE--TRNA-LIGASE-RXN;ASPARAGINE--TRNA-LIGASE-RXN;THYKI-RXN;OHMETPYRKIN-RXN;RXN-18028;TRANS-RXN-366;5-FORMYL-THF-CYCLO-LIGASE-RXN;6PFRUCTPHOS-RXN;ABC-25-RXN;RXN-18693;RXN-18029;3.6.3.3-RXN;RXN-6341;6.3.5.6-RXN;RXN-9644;CARBPSYN-RXN;RXN0-5098;SHIKIMATE-KINASE-RXN;RXN-16820;TYROSINE--TRNA-LIGASE-RXN;ASPARTATEKIN-RXN;ASNSYNB-RXN;RXN-22389;DEPHOSPHOCOAKIN-RXN;RXN-11135;TAGAKIN-RXN;6.3.5.7-RXN;ARGININE--TRNA-LIGASE-RXN;GLUTAMINESYN-RXN;GUANYL-KIN-RXN;GLUCOKIN-RXN;2.7.13.3-RXN;PHENYLALANINE--TRNA-LIGASE-RXN;RXN0-2161;RXN0-4261;RXN-11109;RXN-21262;DEOXYGUANOSINE-KINASE-RXN;RXN-11364;LYSINE--TRNA-LIGASE-RXN;UDP-NACMURALGLDAPAALIG-RXN;DURIDKI-RXN;3.6.3.44-RXN;GALACTOKIN-RXN;RXN0-2921;ACETYL-COA-CARBOXYLTRANSFER-RXN;TRYPTOPHAN--TRNA-LIGASE-RXN;RXN-18666;TRANS-RXN2B4Q-127;RXN-14338;CHOLINE-KINASE-RXN;ACETATEKIN-RXN;CYSTEINE--TRNA-LIGASE-RXN;GLYCINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;NICONUCADENYLYLTRAN-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-12002;RXN-21299;3.6.3.40-RXN;SAICARSYN-RXN;RXN0-1061;HISTIDINE--TRNA-LIGASE-RXN;CARBAMATE-KINASE-RXN;TRANS-RXN-220;GTPPYPHOSKIN-RXN;PNKIN-RXN;GLYRIBONUCSYN-RXN;GDPPYPHOSKIN-RXN;PHOSGLYPHOS-RXN;RXN-10;THIAMIN-PYROPHOSPHOKINASE-RXN;RXN-8457;6.3.1.12-RXN;RXN-9623;XYLULOKIN-RXN;PROPKIN-RXN;UDP-NACMURALA-GLU-LIG-RXN;FRUCTOKINASE-RXN;DALADALALIG-RXN;RXN-20868;PANTEPADENYLYLTRAN-RXN;TRANS-RXN-194;PHOSPHOMEVALONATE-KINASE-RXN;RXN-18014;GLUTKIN-RXN;6.3.2.7-RXN;TRANS-RXN-324;ABC-42-RXN;THIAZOLSYN3-RXN;ABC-24-RXN;O-SUCCINYLBENZOATE-COA-LIG-RXN;LEUCINE--TRNA-LIGASE-RXN;3.6.3.16-RXN;TRANS-RXN-314;TRANS-RXN-321;RXN185E-10;RXN-7904;CYTIKIN-RXN;6.3.2.10-RXN;RXN-19915;RXN0-745;BETA-GLUCOSIDE-KINASE-RXN;GKI-RXN;RIBOKIN-RXN;RXN0-742;RXN-21036;RXN-22384;RXN-16393;NAD-KIN-RXN;TRANS-RXN-477;NAD-SYNTH-GLN-RXN;ATPSYN-RXN;3.4.21.92-RXN;METHIONINE--TRNA-LIGASE-RXN;VALINE--TRNA-LIGASE-RXN;GLURS-RXN;RXN-17127;TRANS-RXN-250;FGAMSYN-RXN;RXN-11344;DIHYDROFOLATESYNTH-RXN;RXN0-5223;GLYCEROL-KIN-RXN;RXN-14455;BIOTINLIG-RXN;BIOTIN-CARBOXYL-RXN;RXN-11342;ADENYL-KIN-RXN;PROTEIN-KINASE-RXN;RXN0-7388;ABC-27-RXN	2.7.1.148-RXN;PRPPSYN-RXN;HEXOKINASE-RXN;AIRS-RXN;NAD-SYNTH-NH3-RXN;H2PTERIDINEPYROPHOSPHOKIN-RXN;R345-RXN;URIDINEKIN-RXN;DIACYLGLYKIN-RXN;3.6.3.31-RXN;5.99.1.3-RXN;FORMATETHFLIG-RXN;CTPSYN-RXN;DTMPKI-RXN;RXN-11832;2.7.7.1-RXN;SERINE--TRNA-LIGASE-RXN;RXN-14569;RXN-22326;PROLINE--TRNA-LIGASE-RXN;UDP-NACMUR-ALA-LIG-RXN;RXN0-2023;RXN-7913;ASNSYNA-RXN;PYRAMKIN-RXN;GLY3KIN-RXN;PYRIDOXKIN-RXN;RXN-1961;RXN-18388;NICOTINATEPRIBOSYLTRANS-RXN;RXN-16165;RXN-22608;DTDPKIN-RXN;ASPARTATE--TRNA-LIGASE-RXN;HOMOSERKIN-RXN;ACETYLGLUTKIN-RXN;3.1.21.3-RXN;DCDPKIN-RXN;DGDPKIN-RXN;ARGSUCCINSYN-RXN;GMP-SYN-GLUT-RXN;RXN-22498;TRNA-CYTIDYLYLTRANSFERASE-RXN;UNDECAPRENOL-KINASE-RXN;THREONINE--TRNA-LIGASE-RXN;FORMYLTHFGLUSYNTH-RXN;RXN-12798;ASPARAGINE--TRNA-LIGASE-RXN;CDPKIN-RXN;THYKI-RXN;RXN-18028;5-FORMYL-THF-CYCLO-LIGASE-RXN;6PFRUCTPHOS-RXN;ABC-25-RXN;RXN-18693;UDPKIN-RXN;RXN-18029;RXN-6341;6.3.5.6-RXN;CARBPSYN-RXN;SHIKIMATE-KINASE-RXN;TYROSINE--TRNA-LIGASE-RXN;RXN-16820;ASPARTATEKIN-RXN;DEPHOSPHOCOAKIN-RXN;RXN-11135;TAGAKIN-RXN;6.3.5.7-RXN;ARGININE--TRNA-LIGASE-RXN;GUANYL-KIN-RXN;RXN0-4261;GLUCOKIN-RXN;2.7.13.3-RXN;PHENYLALANINE--TRNA-LIGASE-RXN;RXN0-2161;GDPKIN-RXN;RXN-11109;RXN-21262;LYSINE--TRNA-LIGASE-RXN;UDP-NACMURALGLDAPAALIG-RXN;DURIDKI-RXN;GALACTOKIN-RXN;RXN0-2921;ACETYL-COA-CARBOXYLTRANSFER-RXN;2.7.10.1-RXN;RXN-18666;TRYPTOPHAN--TRNA-LIGASE-RXN;RXN-14338;DADPKIN-RXN;ACETATEKIN-RXN;CYSTEINE--TRNA-LIGASE-RXN;GLYCINE--TRNA-LIGASE-RXN;ALANINE--TRNA-LIGASE-RXN;NICONUCADENYLYLTRAN-RXN;FOLYLPOLYGLUTAMATESYNTH-RXN;RXN-12002;RXN-21299;3.6.3.40-RXN;ATPASE-RXN;SAICARSYN-RXN;RXN0-1061;HISTIDINE--TRNA-LIGASE-RXN;GTPPYPHOSKIN-RXN;PNKIN-RXN;GLYRIBONUCSYN-RXN;GDPPYPHOSKIN-RXN;RXN-10;THIAMIN-PYROPHOSPHOKINASE-RXN;PROPKIN-RXN;UDP-NACMURALA-GLU-LIG-RXN;FRUCTOKINASE-RXN;PANTEPADENYLYLTRAN-RXN;TRANS-RXN-194;PHOSPHOMEVALONATE-KINASE-RXN;RXN-18014;GLUTKIN-RXN;6.3.2.7-RXN;ABC-42-RXN;ABC-24-RXN;LEUCINE--TRNA-LIGASE-RXN;TRANS-RXN-314;TRANS-RXN-321;S-ADENMETSYN-RXN;CYTIKIN-RXN;6.3.2.10-RXN;RXN-19915;RXN0-745;ABC-7-RXN;BETA-GLUCOSIDE-KINASE-RXN;GKI-RXN;RXN0-742;RXN-21036;NAD-KIN-RXN;TRANS-RXN-477;NAD-SYNTH-GLN-RXN;ATPSYN-RXN;RXN-15733;DUDPKIN-RXN;3.4.21.92-RXN;METHIONINE--TRNA-LIGASE-RXN;ABC-70-RXN;VALINE--TRNA-LIGASE-RXN;FGAMSYN-RXN;RXN-12093;DIHYDROFOLATESYNTH-RXN;RXN0-5223;BIOTINLIG-RXN;BIOTIN-CARBOXYL-RXN;ADENYL-KIN-RXN;PROTEIN-KINASE-RXN;RXN0-7388;ABC-27-RXN	ATPPHOSPHORIBOSYLTRANS-RXN;PEPDEPHOS-RXN	ATPPHOSPHORIBOSYLTRANS-RXN;PEPDEPHOS-RXN	ATPPHOSPHORIBOSYLTRANS-RXN;PEPDEPHOS-RXN
Holo-LYS2-peptidyl-carrier-protein				RXN-16759	RXN-16759	RXN-16759
CHITIN	RXN-18082;3.2.1.14-RXN	RXN-18082;3.2.1.14-RXN		RXN-18082	RXN-18082	
METHIONYL-PEPTIDE				3.5.1.88-RXN	3.5.1.88-RXN	3.5.1.88-RXN
L-Methionylaminoacyl-tRNAs				3.5.1.27-RXN	3.5.1.27-RXN	3.5.1.27-RXN
CPDQT-38	RXNQT-4171	RXNQT-4171	RXNQT-4171			
Peptidoglycan-dimer	RXN0-5190	RXN0-5190	RXN0-5190			
L-methionyl-L-alanyl-Protein	RXN-17873	RXN-17873	RXN-17873			
Reduced-2Fe-2S-Ferredoxins	RXN-11586	RXN-11586;2.8.1.6-RXN	RXN-11586			
CPD-21068				RXN-19536	RXN-19536	RXN-19536
Thiols				RXN-6763	RXN-6763	RXN-6763
CPD-9372	RXN-8941					
Charged-ALA-tRNAs			RXN-11310	ALANINE--TRNA-LIGASE-RXN	ALANINE--TRNA-LIGASE-RXN	ALANINE--TRNA-LIGASE-RXN
CPD-24847	RXN-22611	RXN-22611	RXN-22611	RXN-22610	RXN-22610	RXN-22610
D-glucopyranose-6-phosphate	GLU6PDEHYDROG-RXN	GLU6PDEHYDROG-RXN		PHOSPHOGLUCMUT-RXN;2.7.1.63-RXN;TRANS-RXN-157;GLUCOKIN-RXN	6-PHOSPHO-BETA-GLUCOSIDASE-RXN;TRANS-RXN-157;GLUCOKIN-RXN	PHOSPHOGLUCMUT-RXN;TRE6PHYDRO-RXN;6-PHOSPHO-BETA-GLUCOSIDASE-RXN;TRANS-RXN-157;GLUCOKIN-RXN
Mo-bis-MGD-Chaperone-Cys-Persulfide				RXN-21566	RXN-21566	RXN-21566
Alpha-1-3-Branched-Arabinans	RXN-19757			RXN-19758		
N-ALPHA-ACETYLORNITHINE	GLUTAMATE-N-ACETYLTRANSFERASE-RXN;ACETYLORNTRANSAM-RXN	GLUTAMATE-N-ACETYLTRANSFERASE-RXN;ACETYLORNDEACET-RXN;ACETYLORNTRANSAM-RXN	GLUTAMATE-N-ACETYLTRANSFERASE-RXN;ACETYLORNDEACET-RXN;ACETYLORNTRANSAM-RXN			
SUCC-S-ALD				3.5.1.29-RXN		
D-Hexoses	HEXOKINASE-RXN	HEXOKINASE-RXN	HEXOKINASE-RXN			
ARG-tRNAs	ARGININE--TRNA-LIGASE-RXN	ARGININE--TRNA-LIGASE-RXN	ARGININE--TRNA-LIGASE-RXN			
SHIKIMATE		SHIKIMATE-KINASE-RXN	SHIKIMATE-KINASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN
Uridine32-in-tRNA	RXN-11842	RXN-11842	RXN-11842			
D-GALACTOSYL-14-D-GALACTOSYL-14-D-	3.2.1.47-RXN					
OXALACETIC_ACID	RXN-21228;CITSYN-RXN	2-METHYLCITRATE-SYNTHASE-RXN	RXN-21228;CITSYN-RXN;2-METHYLCITRATE-SYNTHASE-RXN	RXN-13697;PEPCARBOX-RXN;ASPAMINOTRANS-RXN	RXN-13697;ASPAMINOTRANS-RXN	RXN-13697;PEPCARBOX-RXN;ASPAMINOTRANS-RXN
P-NITROPHENOL				RXN-19769;RXN-17830;RXN-19765	RXN-19765	RXN-19765
Octanoylated-domains				RXN0-947	RXN0-5098	
repressor-LexA	3.4.21.88-RXN	3.4.21.88-RXN				
DNA-Holder				3.1.26.4-RXN	3.1.26.4-RXN	3.1.26.4-RXN
23S-rRNA-N2-methylguanine1835				RXN-11635		
FARNESYL-PP	RXN-8992;RXN-9106	TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN;RXN-8999;TRANS-PENTAPRENYLTRANSFERASE-RXN	RXN-8999		FPPSYN-RXN	FPPSYN-RXN
Malonyl-BryP-ACP				RXN-20482	RXN-20482	RXN-20482
Peptide-Holder-Alternative				3.4.11.18-RXN;3.4.11.2-RXN;3.4.11.5-RXN;PYROGLUTAMYL-PEPTIDASE-I-RXN	3.4.11.18-RXN;3.4.11.2-RXN;3.4.11.7-RXN;3.4.14.11-RXN	3.4.11.18-RXN;3.4.11.2-RXN;3.4.11.5-RXN;3.4.11.7-RXN
Protein-S-methyl-L-cysteine				2.1.1.63-RXN;RXN-17824	2.1.1.63-RXN;RXN-17824	2.1.1.63-RXN;RXN-17824
Elongation-tRNAMet	METHIONINE--TRNA-LIGASE-RXN	METHIONINE--TRNA-LIGASE-RXN	METHIONINE--TRNA-LIGASE-RXN			
Release-factor-L-glutamine	RXN-14992	RXN-14992	RXN-14992			
2-KETO-3-METHYL-VALERATE				DIHYDROXYMETVALDEHYDRAT-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	DIHYDROXYMETVALDEHYDRAT-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	DIHYDROXYMETVALDEHYDRAT-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN
Malonyl-PedD				RXN-20490	RXN-20490	RXN-20490
CPD-11281	RXN-19040	RXN-19040	RXN-10851;RXN-19040;RXN-15348			
L-ALPHA-AMINO-EPSILON-KETO-PIMELATE				RXN-4821	RXN-4821	RXN-4821
DEHYDFUC-CPD				L-FUCONATE-HYDRATASE-RXN		
CPD-14763	RXN-19911			RXN-19921		
ILE	ISOLEUCINE--TRNA-LIGASE-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	ISOLEUCINE--TRNA-LIGASE-RXN;BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN			
